#FILE:                       ,CP2_C1_0,5_28; 17-5-2023.ngb-ds3              
#FORMAT:                     ,NETZSCH5                                      
#IDENTITY:                   ,Cement paste                                  
#DECIMAL:                    ,POINT                                         
#SEPARATOR:                  ,COMMA                                         
#MTYPE:                      ,DSC                                           
#INSTRUMENT:                 ,Microlab TU Delft                             
#PROJECT:                    ,                                              
#DATE/TIME:                  ,17/05/2023 3:53:12 PM                         
#CORR. FILE:                 ,Blank with cover upto 1050 C; 2-5-2023.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                            
#OPERATOR:                   ,Patrick                                       
#REMARK:                     ,under argon atmosphere, 10K/min               
#SAMPLE:                     ,CP2_C1_0,5_28;17-5-2023                       
#SAMPLE MASS /mg:            ,46.7                                          
#MATERIAL:                   ,CEMENT PASTE                                  
#REFERENCE:                  ,blank                                         
#REFERENCE MASS /mg:         ,0                                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                              
#SAMPLE CRUCIBLE MASS /mg:   ,0                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                             
#CORR. CODE:                 ,020                                           
#EXO:                        ,+1                                            
#RANGE:                      ,40/10.0(K/min)/1050                           
#SEGMENT:                    ,S2/2                                          

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
  40.38000, 15.04833,-1.1505e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.8215e-002,0.95848
  40.38400, 15.05333,-1.1573e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.5528e-002,0.95848
  40.39000, 15.05833,-1.1318e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.3308e-002,0.95848
  40.40500, 15.06333,-1.1249e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.1444e-002,0.95849
  40.39000, 15.06833,-1.1454e-002,99.71734,50.00000,0.0000e+000,20.00000,-1.9993e-002,0.95848
  40.38800, 15.07333,-1.1301e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.0461e-002,0.95848
  40.38900, 15.07833,-1.1539e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.5916e-002,0.95848
  40.39100, 15.08333,-1.1454e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.4101e-002,0.95848
  40.39800, 15.08833,-1.1556e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.8153e-002,0.95849
  40.40000, 15.09333,-1.1624e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.7538e-002,0.95849
  40.40700, 15.09833,-1.1641e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.5708e-002,0.95849
  40.40300, 15.10333,-1.1318e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.3966e-002,0.95849
  40.40100, 15.10833,-1.1556e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.2387e-002,0.95849
  40.39800, 15.11333,-1.1471e-002,99.71734,50.00000,0.0000e+000,20.00000,-3.0947e-002,0.95849
  40.40600, 15.11833,-1.1249e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.9630e-002,0.95849
  40.40500, 15.12333,-1.1301e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.8421e-002,0.95849
  40.41300, 15.12833,-1.1471e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.7306e-002,0.95849
  40.40500, 15.13333,-1.1386e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.6276e-002,0.95849
  40.40100, 15.13833,-1.1505e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.5320e-002,0.95849
  40.40100, 15.14333,-1.1471e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.4432e-002,0.95849
  40.39800, 15.14833,-1.1488e-002,99.71734,50.00000,0.0000e+000,20.00000,-2.3604e-002,0.95849
