#FILE:                       ,CA_Blank.ngb-ds3               
#FORMAT:                     ,NETZSCH5                       
#IDENTITY:                   ,CA blank                       
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,DSC                            
#INSTRUMENT:                 ,Microlab TU Delft              
#PROJECT:                    ,                               
#DATE/TIME:                  ,2/05/2023 8:33:34 AM           
#CORR. FILE:                 ,2023_04_25.ngb-bs3             
#LABORATORY:                 ,TU Delft Micro Lab             
#OPERATOR:                   ,Ameya                          
#REMARK:                     ,under argon atmosphere, 10K/min
#SAMPLE:                     ,CA_Blank                       
#SAMPLE MASS /mg:            ,35.1                           
#MATERIAL:                   ,Capsules                       
#REFERENCE:                  ,blank                          
#REFERENCE MASS /mg:         ,0                              
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:   ,0                              
#REFERENCE CRUCIBLE MASS /mg:,0                              
#CORR. CODE:                 ,020                            
#EXO:                        ,+1                             
#RANGE:                      ,40/10.0(K/min)/1000            
#SEGMENT:                    ,S2/2                           

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.39500, 15.00333,-3.5332e-002,  99.01994,50.00000,0.0000e+000,20.00000,    -0.30926,0.95848
 40.41200, 15.00833,-3.5309e-002,  99.01994,50.00000,0.0000e+000,20.00000,    -0.21713,0.95849
 40.40900, 15.01333,-3.5377e-002,  99.01994,50.00000,0.0000e+000,20.00000,    -0.14175,0.95849
 40.41400, 15.01833,-3.5082e-002,  99.01994,50.00000,0.0000e+000,20.00000,    -0.10189,0.95849
 40.42100, 15.02333,-3.5468e-002,  99.01994,50.00000,0.0000e+000,20.00000,-7.9282e-002,0.95849
 40.41800, 15.02833,-3.5536e-002,  99.01994,50.00000,0.0000e+000,20.00000,-6.7036e-002,0.95849
 40.41900, 15.03333,-3.5241e-002,  99.01994,50.00000,0.0000e+000,20.00000,-6.9029e-002,0.95849
 40.41700, 15.03833,-3.5195e-002,  99.01994,50.00000,0.0000e+000,20.00000,-8.5537e-002,0.95849
 40.42200, 15.04333,-3.5581e-002,  99.01994,50.00000,0.0000e+000,20.00000,-9.8162e-002,0.95849
 40.41900, 15.04833,-3.4923e-002,  99.01994,50.00000,0.0000e+000,20.00000,-9.6249e-002,0.95849
 40.41700, 15.05333,-3.5241e-002,  99.01994,50.00000,0.0000e+000,20.00000,-8.8218e-002,0.95849
 40.42400, 15.05833,-3.5127e-002,  99.01994,50.00000,0.0000e+000,20.00000,-8.0559e-002,0.95849
 40.41900, 15.06333,-3.5127e-002,  99.01994,50.00000,0.0000e+000,20.00000,-7.4115e-002,0.95849
 40.44100, 15.06833,-3.5603e-002,  99.01994,50.00000,0.0000e+000,20.00000,-6.8807e-002,0.95850
 40.42500, 15.07333,-3.5195e-002,  99.01994,50.00000,0.0000e+000,20.00000,-6.6519e-002,0.95849
 40.43100, 15.07833,-3.4833e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.1242e-002,0.95849
 40.43400, 15.08333,-3.5195e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.9904e-002,0.95850
 40.43100, 15.08833,-3.5218e-002,  99.01425,50.00000,0.0000e+000,20.00000,-8.3392e-002,0.95849
 40.43000, 15.09333,-3.5286e-002,  99.01425,50.00000,0.0000e+000,20.00000,-8.1774e-002,0.95849
 40.43500, 15.09833,-3.5445e-002,  99.01425,50.00000,0.0000e+000,20.00000,-8.1289e-002,0.95850
 40.43500, 15.10333,-3.5241e-002,  99.01425,50.00000,0.0000e+000,20.00000,-8.2547e-002,0.95850
 40.44300, 15.10833,-3.5218e-002,  99.01425,50.00000,0.0000e+000,20.00000,-8.1961e-002,0.95850
 40.45200, 15.11333,-3.5195e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.9375e-002,0.95850
 40.43300, 15.11833,-3.5263e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.7751e-002,0.95849
 40.44000, 15.12333,-3.5354e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.8514e-002,0.95850
 40.44700, 15.12833,-3.4946e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.9216e-002,0.95850
 40.44700, 15.13333,-3.4946e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.7736e-002,0.95850
 40.44600, 15.13833,-3.5082e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.5129e-002,0.95850
 40.43700, 15.14333,-3.4969e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.2704e-002,0.95850
 40.45100, 15.14833,-3.5104e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.1595e-002,0.95850
 40.43400, 15.15333,-3.5150e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.2409e-002,0.95850
 40.45300, 15.15833,-3.5104e-002,  99.01425,50.00000,0.0000e+000,20.00000,-7.3172e-002,0.95850
 40.44900, 15.16333,-3.5241e-002,  99.00855,50.00000,0.0000e+000,20.00000,-7.2151e-002,0.95850
 40.44100, 15.16833,-3.5445e-002,  99.00855,50.00000,0.0000e+000,20.00000,-7.0175e-002,0.95850
 40.45300, 15.17333,-3.5354e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.8143e-002,0.95850
 40.46400, 15.17833,-3.4787e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.6258e-002,0.95850
 40.45300, 15.18333,-3.4946e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.4931e-002,0.95850
 40.45100, 15.18833,-3.5172e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.5063e-002,0.95850
 40.46100, 15.19333,-3.5218e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.6154e-002,0.95850
 40.44800, 15.19833,-3.4991e-002,  99.00855,50.00000,0.0000e+000,20.00000,-6.6248e-002,0.95850
 40.46900, 15.20333,-3.5059e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.5052e-002,0.95850
 40.46000, 15.20833,-3.5240e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.3514e-002,0.95850
 40.46600, 15.21333,-3.5172e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.2020e-002,0.95850
 40.45100, 15.21833,-3.5218e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.0622e-002,0.95850
 40.45100, 15.22333,-3.5150e-002,  99.00570,50.00000,0.0000e+000,20.00000,-5.9660e-002,0.95850
 40.45400, 15.22833,-3.5104e-002,  99.00570,50.00000,0.0000e+000,20.00000,-5.9885e-002,0.95850
 40.45100, 15.23333,-3.5172e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.0899e-002,0.95850
 40.46300, 15.23833,-3.5082e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.1114e-002,0.95850
 40.46400, 15.24333,-3.4855e-002,  99.00570,50.00000,0.0000e+000,20.00000,-6.0589e-002,0.95850
 40.44400, 15.24833,-3.4810e-002,  99.00285,50.00000,0.0000e+000,20.00000,-6.0801e-002,0.95850
 40.46900, 15.25333,-3.5263e-002,  99.00285,50.00000,0.0000e+000,20.00000,-6.1717e-002,0.95850
 40.48600, 15.25833,-3.4991e-002,  99.00285,50.00000,0.0000e+000,20.00000,-6.1875e-002,0.95851
 40.46900, 15.26333,-3.4832e-002,  99.00285,50.00000,0.0000e+000,20.00000,-6.1036e-002,0.95850
 40.46000, 15.26833,-3.5263e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.9920e-002,0.95850
 40.47100, 15.27333,-3.5127e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.8930e-002,0.95850
 40.47200, 15.27833,-3.5014e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.8589e-002,0.95851
 40.47200, 15.28333,-3.5127e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.9258e-002,0.95851
 40.47600, 15.28833,-3.5172e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.9904e-002,0.95851
 40.47500, 15.29333,-3.4968e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.9585e-002,0.95851
 40.48600, 15.29833,-3.4741e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.8983e-002,0.95851
 40.48000, 15.30333,-3.5127e-002,  99.00285,50.00000,0.0000e+000,20.00000,-5.9164e-002,0.95851
 40.46400, 15.30833,-3.5172e-002,  99.00000,50.00000,0.0000e+000,20.00000,-5.9945e-002,0.95850
 40.48600, 15.31333,-3.5149e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.0199e-002,0.95851
 40.47600, 15.31833,-3.5013e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.0161e-002,0.95851
 40.48700, 15.32333,-3.5286e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.0742e-002,0.95851
 40.48900, 15.32833,-3.5263e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.1288e-002,0.95851
 40.49000, 15.33333,-3.4923e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.1058e-002,0.95851
 40.48600, 15.33833,-3.5149e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.0834e-002,0.95851
 40.49700, 15.34333,-3.4764e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.1355e-002,0.95851
 40.49700, 15.34833,-3.4855e-002,  99.00000,50.00000,0.0000e+000,20.00000,-6.1859e-002,0.95851
