#FILE:                       ,CA_FeCN_5050.ngb-ds3           
#FORMAT:                     ,NETZSCH5                       
#IDENTITY:                   ,CA_FeCN_5050                   
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,DSC                            
#INSTRUMENT:                 ,Microlab TU Delft              
#PROJECT:                    ,                               
#DATE/TIME:                  ,2/05/2023 3:52:04 PM           
#CORR. FILE:                 ,2023_04_25.ngb-bs3             
#LABORATORY:                 ,TU Delft Micro Lab             
#OPERATOR:                   ,Ameya                          
#REMARK:                     ,under argon atmosphere, 10K/min
#SAMPLE:                     ,CA_FeCN_5050                   
#SAMPLE MASS /mg:            ,37.6                           
#MATERIAL:                   ,Capsules                       
#REFERENCE:                  ,blank                          
#REFERENCE MASS /mg:         ,0                              
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:   ,0                              
#REFERENCE CRUCIBLE MASS /mg:,0                              
#CORR. CODE:                 ,020                            
#EXO:                        ,+1                             
#RANGE:                      ,40/10.0(K/min)/1000            
#SEGMENT:                    ,S2/2                           

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.58400, 15.02667,-5.5356e-002,  98.52128,50.00000,0.0000e+000,20.00000,    -0.12112,0.95853
 40.60100, 15.03167,-5.5229e-002,  98.52128,50.00000,0.0000e+000,20.00000,    -0.13580,0.95854
 40.60500, 15.03667,-5.5271e-002,  98.52128,50.00000,0.0000e+000,20.00000,    -0.13555,0.95854
 40.60900, 15.04167,-5.5377e-002,  98.51862,50.00000,0.0000e+000,20.00000,    -0.12743,0.95854
 40.60700, 15.04667,-5.5038e-002,  98.51862,50.00000,0.0000e+000,20.00000,    -0.12799,0.95854
 40.60900, 15.05167,-5.5208e-002,  98.51862,50.00000,0.0000e+000,20.00000,    -0.13538,0.95854
 40.61200, 15.05667,-5.5059e-002,  98.51862,50.00000,0.0000e+000,20.00000,    -0.13820,0.95854
 40.61200, 15.06167,-5.5038e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13745,0.95854
 40.61600, 15.06667,-5.4890e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13688,0.95854
 40.60900, 15.07167,-5.5292e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13660,0.95854
 40.60400, 15.07667,-5.4954e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13637,0.95854
 40.60900, 15.08167,-5.5144e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13617,0.95854
 40.61700, 15.08667,-5.5165e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13598,0.95854
 40.62600, 15.09167,-5.5377e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13558,0.95855
 40.61300, 15.09667,-5.5356e-002,  98.51330,50.00000,0.0000e+000,20.00000,    -0.13438,0.95854
 40.61000, 15.10167,-5.5398e-002,  98.50798,50.00000,0.0000e+000,20.00000,    -0.13294,0.95854
 40.62900, 15.10667,-5.5461e-002,  98.50798,50.00000,0.0000e+000,20.00000,    -0.13322,0.95855
 40.62900, 15.11167,-5.5144e-002,  98.50798,50.00000,0.0000e+000,20.00000,    -0.13599,0.95855
 40.62000, 15.11667,-5.5313e-002,  98.50798,50.00000,0.0000e+000,20.00000,    -0.13942,0.95854
 40.61700, 15.12167,-5.5229e-002,  98.50798,50.00000,0.0000e+000,20.00000,    -0.13911,0.95854
 40.61900, 15.12667,-5.5080e-002,  98.50532,50.00000,0.0000e+000,20.00000,    -0.13539,0.95854
 40.62700, 15.13167,-5.4932e-002,  98.50532,50.00000,0.0000e+000,20.00000,    -0.13319,0.95855
 40.61600, 15.13667,-5.4953e-002,  98.50532,50.00000,0.0000e+000,20.00000,    -0.13489,0.95854
 40.64000, 15.14167,-5.4720e-002,  98.50532,50.00000,0.0000e+000,20.00000,    -0.13648,0.95855
 40.64000, 15.14667,-5.4784e-002,  98.50266,50.00000,0.0000e+000,20.00000,    -0.13446,0.95855
 40.63600, 15.15167,-5.5313e-002,  98.50266,50.00000,0.0000e+000,20.00000,    -0.13151,0.95855
 40.63900, 15.15667,-5.5186e-002,  98.50266,50.00000,0.0000e+000,20.00000,    -0.13151,0.95855
 40.64200, 15.16167,-5.5292e-002,  98.50266,50.00000,0.0000e+000,20.00000,    -0.13413,0.95855
